institute,fy2020_21,fy2021_22,fy2022_23,fy2023_24,fy2024_25,total
NIT Calicut,9285622,2493116,25676722,7774975,11972150,57202585
NIT Raipur,2560957,2218344,3417798,8559748,11146313,27903160
NIT Sikkim,741171,420225,504250,23600,3569913,5259159
NIT Delhi,0,3566303,18985039,13352875,4449034,40353521
NIT Durgapur,1237644,8654607,18791264,3493468,0,32176983
NIT Meghalaya,30615356,20124917,8292320,0,0,59032593
NIT Pondicherry,25599435,13081584,23746580,14601839,13754713,90784151
NIT Kurukshetra,0,495600,1119602,2596000,7772405,11983607
NIT Srinagar,786444,780000,12446277,23219838,472171,37704731
NIT Rourkela,80687000,14789000,50911000,61898000,72890000,281175000
NIT Agartala,0,0,0,0,0,0
NIT Goa,0,0,0,0,0,0
NIT Trichy,0,0,0,0,0,0
NIT Mizoram,0,0,0,0,0,0
NIT Uttarakhand,0,0,0,0,0,0
NIT Karnataka,0,0,0,0,0,0
NIT Jaipur,0,0,0,0,0,0
NIT Warangal,0,0,0,0,0,0
NIT Andhra Pradesh,0,0,0,0,0,0
NIT Arunachal Pradesh,0,0,0,0,0,0
NIT Hamirpur,0,0,0,0,0,0
NIT Manipur,0,0,0,0,0,0
NIT Nagaland,0,0,0,0,0,0
NIT Patna,0,0,0,0,0,0
IIM Amritsar,2880936,3108029,2676264,2090189,20095351,30850769
IIM Kashipur,1320820,1151222,1417596,1655835,2712392,8257865
IIM Trichy,2009211,4455801,4581638,3644977,12555849,27247476
IIM Udaipur,2051309,2284358,4841764,3612147,5196788,17986366
IIM Jammu,583510,4464723,2092452,2779150,2848032,12767867
IIM Vishakhapatnam,2859726,2027043,2280402,2169014,3383560,12719745
IIM Calcutta,0,2232733,2228613,121917,4390890,8974153
IIM Indore,440476,480805,507047,597952,622796,2649076
IIM Kozhikode,61900000,78800000,82800000,116500000,98000000,438000000
IIM Bangalore,0,0,0,0,0,0
IIM Sambhalpur,0,0,0,0,0,0
IIM Ahmedabad,0,0,0,0,0,0
IIM Nagpur,0,0,0,0,0,0
IIM Raipur,0,0,0,0,0,0
IIM Rohtak,0,0,0,0,0,0
IIM Sirmaur,0,0,0,0,0,0
IIM Mumbai,0,0,0,0,0,0
IIM Bodhgaya,0,0,0,0,0,0
IIM Ranchi,0,0,0,0,0,0
IIM Shillong,0,0,0,0,0,0
IIM Lucknow,0,0,0,0,0,0
IIIT Una,1014091,687803,3438445,804305,2405662,8350306
IIIT Vadodara,106200,1491177,100300,100300,2426979,4224956
IIIT Nagpur,0,0,0,0,0,0
IIIT Guwahati,657582,657582,657582,657582,657582,3287910
IIIT Sonepat,0,0,0,454725,652015,1106740
IIIT Kota,0,0,0,0,0,0
IIIT Kottayam,418487,594350,197520,2875833,3429848,7516038
IIIT Surat,0,1240115,16166,33621,1442462,2732364
IIIT Pune,0,0,0,0,0,0
IIIT Bhopal,0,0,0,0,0,0
IIIT Kurnool,0,0,0,0,0,0
IIIT Allahabad,6418000,4501000,13523000,5596000,7296000,37334000
IIIT Kancheepuram,0,0,0,0,0,75000000
IIIT Tiruchirapalli,0,0,0,0,0,0
IIIT Gwalior,0,0,0,0,0,0
IIIT Dharwad,0,0,0,0,0,0
