slug,name,type,city,state,website
iim-ahmedabad,IIM Ahmedabad,IIM,Ahmedabad,,
iim-amritsar,IIM Amritsar,IIM,Amritsar,,
iim-bangalore,IIM Bangalore,IIM,Bengaluru,,
iim-bodhgaya,IIM Bodhgaya,IIM,Bodhgaya,,
iim-calcutta,IIM Calcutta,IIM,Kolkatta,,
iim-indore,IIM Indore,IIM,Indore,,
iim-jammu,IIM Jammu,IIM,Jammu,,
iim-kashipur,IIM Kashipur,IIM,Kashipur,,
iim-kozhikode,IIM Kozhikode,IIM,Kozhikode,,
iim-lucknow,IIM Lucknow,IIM,Lucknow,,
iim-mumbai,IIM Mumbai,IIM,Mumbai,,
iim-nagpur,IIM Nagpur,IIM,Nagpur,,
iim-raipur,IIM Raipur,IIM,Raipur,,
iim-ranchi,IIM Ranchi,IIM,Ranchi,,
iim-rohtak,IIM Rohtak,IIM,Rohtak,,
iim-sambhalpur,IIM Sambhalpur,IIM,Sambhalpur,,
iim-shillong,IIM Shillong,IIM,Shillong,,
iim-sirmaur,IIM Sirmaur,IIM,Sirmaur,,
iim-trichy,IIM Trichy,IIM,Trichy,,
iim-udaipur,IIM Udaipur,IIM,Udaipur,,
iim-vishakhapatnam,IIM Vishakhapatnam,IIM,Vishakhapatnam,,
nit-agartala,NIT Agartala,NIT,Agartala,,
nit-andhra-pradesh,NIT Andhra Pradesh,NIT,Taddepalligudem,,
nit-arunachal-pradesh,NIT Arunachal Pradesh,NIT,Jote,,
nit-calicut,NIT Calicut,NIT,Calicut,,
nit-delhi,NIT Delhi,NIT,Delhi,,
nit-durgapur,NIT Durgapur,NIT,Durgapur,,
nit-goa,NIT Goa,NIT,Cuncolim,,
nit-hamirpur,NIT Hamirpur,NIT,Hamirpur,,
nit-jaipur,NIT Jaipur,NIT,Jaipur,,
nit-karnataka,NIT Karnataka,NIT,Surathkal,,
nit-kurukshetra,NIT Kurukshetra,NIT,Kurukshetra,,
nit-manipur,NIT Manipur,NIT,Imphal,,
nit-meghalaya,NIT Meghalaya,NIT,Shillong,,
nit-mizoram,NIT Mizoram,NIT,Aizawl,,
nit-nagaland,NIT Nagaland,NIT,Dimapur,,
nit-patna,NIT Patna,NIT,Patna,,
nit-pondicherry,NIT Pondicherry,NIT,Pondicherry,,
nit-raipur,NIT Raipur,NIT,Raipur,,
nit-rourkela,NIT Rourkela,NIT,Rourkela,,
nit-sikkim,NIT Sikkim,NIT,Ravangala,,
nit-silchar,NIT Silchar,NIT,Silchar,,
nit-srinagar,NIT Srinagar,NIT,Srinagar,,
nit-trichy,NIT Trichy,NIT,Trichy,,
nit-uttarakhand,NIT Uttarakhand,NIT,Srinagar,,
nit-warangal,NIT Warangal,NIT,Warangal,,
