software,institutions,category,tool_type
Zoom Workspace Pro,"NIT Delhi, NIT Pondicherry",Productivity & Collaboration,Administrative Tool
Office Suit Microsoft Office 365,"NIT Delhi, NIT Agartala, NIT Durgapur, NIT Pondicherry, NIT Rourkela, NIT Raipur",Productivity & Collaboration,Administrative Tool
Web Ex (CISCO A-FLEX-3_ProPack),"NIT Delhi, NIT Pondicherry",Productivity & Collaboration,Administrative Tool
Seqrite Antivirus Premium ,NIT Delhi,Cybersecurity,Administrative Tool
Matlab,"NIT Delhi, NIT Durgapur, NIT Goa, NIT Pondicherry, NIT Meghalaya, NIT Srinagar, NIT Trichy, NIT Rourkela",Scientific & Engineering Software,Academic Tool
Turnitin,"NIT Delhi, NIT Pondicherry, NIT Agartala, NIT Meghalaya, NIT Srinagar, NIT Rourkela, IIM Amritsar, IIM Bangalore, IIM Calcutta, IIM Kashipur, IIM Trichy, IIM Udaipur, IIM Vishakhapatnam, IIM Nagpur, IIM Raipur, IIM Jammu, IIM Lucknow, IIM Indore, IIM Sambhalpur, IIIT Nagpur, IIIT Bhopal, IIIT Kottayam, IIIT Vadodara, IIIT Kancheepuram, IIIT Allahabad, IIIT Gwalior",Academic Integrity & Writing,Academic Tool
Fortinet Firewall 601F,NIT Delhi,Cybersecurity,Administrative Tool
Firewall Authenticator,NIT Delhi,Cybersecurity,Administrative Tool
MS Teams,NIT Delhi,Productivity & Collaboration,Administrative Tool
ION,NIT Delhi,ERP & Administration,Administrative Tool
Wordsworth Lab ,NIT Delhi,Academic Integrity & Writing,Academic Tool
Microsoft Windows Server ,"NIT Delhi, NIT Durgapur",IT Infrastructure & OS,Administrative Tool
eOffice,NIT Delhi,ERP & Administration,Administrative Tool
Samarth ,NIT Delhi,ERP & Administration,Administrative Tool
ERP ,"NIT Delhi, NIT Meghalaya",ERP & Administration,Administrative Tool
Soild Works Educational Edition Software,"NIT Agartala, NIT Trichy",CAD / CAM / Design,Academic Tool
BK Connect FFT Software ,NIT Agartala,Scientific & Engineering Software,Academic Tool
Time Data Recorder Software,NIT Agartala,Scientific & Engineering Software,Academic Tool
IBM SPSS Statistics BASE Version 29.0,NIT Agartala,Data Analysis & Statistics,Academic Tool
ANSYS Mechanical bundle ,"NIT Agartala, NIT Srinagar, NIT Trichy",Simulation & Modelling,Academic Tool
ANSYS CFD bundle ,"NIT Agartala, NIT Srinagar, NIT Trichy",Simulation & Modelling,Academic Tool
ANSYS HFSS ,"NIT Agartala, NIT Srinagar, NIT Trichy",Simulation & Modelling,Academic Tool
ANSYS Maxwell ,"NIT Agartala, NIT Goa, NIT Trichy",Simulation & Modelling,Academic Tool
ANSYS Lumerical ,NIT Agartala,Simulation & Modelling,Academic Tool
ANSYS Zemax,NIT Agartala,Simulation & Modelling,Academic Tool
ANSYS,"NIT Agartala, NIT Durgapur, NIT Goa, NIT Pondicherry, NIT Meghalaya, NIT Trichy, NIT Rourkela, IIIT Kancheepuram, IIIT Allahabad",Simulation & Modelling,Academic Tool
CHEMCAD Software,NIT Agartala,Scientific & Engineering Software,Academic Tool
ABAQUS Academic Research,NIT Agartala,Simulation & Modelling,Academic Tool
Hyper LINGO 20 ,NIT Agartala,Data Analysis & Statistics,Academic Tool
COMSOL,"NIT Durgapur, NIT Trichy",Simulation & Modelling,Academic Tool
SPSS,"NIT Durgapur, NIT Trichy",Data Analysis & Statistics,Academic Tool
SSL,NIT Durgapur,Cybersecurity,Administrative Tool
LUSAS,NIT Durgapur,Simulation & Modelling,Academic Tool
Cadence EDA tool,"NIT Goa, IIIT Kalyani, IIIT Kottayam, IIIT Una, IIIT Tiruchirapalli, IIIT Kancheepuram, IIIT Allahabad",Electronic Design Automation (EDA),Academic Tool
Synopsys Sentaurus TCAD,NIT Goa,Electronic Design Automation (EDA),Academic Tool
Visual TCAD,NIT Goa,Electronic Design Automation (EDA),Academic Tool
AMD Vidado Design Suite Software,NIT Goa,Electronic Design Automation (EDA),Academic Tool
CST studio suite,"NIT Goa, IIIT Kottayam, IIIT Una, IIIT Allahabad, IIIT Kancheepuram",Simulation & Modelling,Academic Tool
RT-Lab software ,NIT Goa,Simulation & Modelling,Academic Tool
PSIM,NIT Goa,Scientific & Engineering Software,Academic Tool
MI Power,NIT Goa,Academic Integrity & Writing,Academic Tool
Midas Gen ,NIT Goa,Simulation & Modelling,Academic Tool
Midas GTS Nx,NIT Goa,Simulation & Modelling,Academic Tool
Plaxis 2D,NIT Goa,GIS & Remote Sensing,Academic Tool
Arc GIS,NIT Goa,CAD / CAM / Design,Academic Tool
AutoCAD,"NIT Goa, NIT Trichy",CAD / CAM / Design,Academic Tool
MasterCAM,NIT Goa,ERP & Administration,Administrative Tool
Superset - Tnpsuite,"NIT Kurukshetra, IIIT Kancheepuram, IIIT Tiruchirapalli",Simulation & Modelling,Academic Tool
Ventclim Fluidyn Software,NIT Kurukshetra,Cybersecurity,Administrative Tool
K7 Security Enterprises ,NIT Kurukshetra,Simulation & Modelling,Academic Tool
Structural Worsute Software,NIT Kurukshetra,Scientific & Engineering Software,Academic Tool
UV Visible Spectrophotomer Software,NIT Kurukshetra,Cybersecurity,Administrative Tool
Fortigate 2000 E,NIT Kurukshetra,Library & Research Management,Administrative Tool
Knimbus Library Management Software Cloud Development ,"NIT Kurukshetra, NIT Pondicherry",ERP & Administration,Administrative Tool
Self Verfiable Credentials ,NIT Kurukshetra,Scientific & Engineering Software,Academic Tool
Quantum ATK with NEGF,NIT Kurukshetra,Library & Research Management,Administrative Tool
Openlex Library Management Software,NIT Kurukshetra,Scientific & Engineering Software,Academic Tool
PESS Software,NIT Kurukshetra,CAD / CAM / Design,Academic Tool
CAD/CAM,NIT Pondicherry,Scientific & Engineering Software,Academic Tool
Wolfram Mathematica Network software,NIT Pondicherry,Simulation & Modelling,Academic Tool
Netsim Software academic version,"NIT Pondicherry, NIT Srinagar, IIIT Kottayam",IT Infrastructure & OS,Administrative Tool
Microsoft Windows 10 pro OEM pack,NIT Pondicherry,IT Infrastructure & OS,Administrative Tool
Microsoft windows 10 professional OS ,NIT Pondicherry,Scientific & Engineering Software,Academic Tool
NI Lab View software,"NIT Pondicherry, IIIT Una",Simulation & Modelling,Academic Tool
"Optical communication systems Simulator (Optsim),",NIT Pondicherry,Simulation & Modelling,Academic Tool
PLAXIS software,NIT Pondicherry,Library & Research Management,Administrative Tool
IEEE IEL Online Tier 2,NIT Pondicherry,Electronic Design Automation (EDA),Academic Tool
proteus VSM for MSP430,NIT Pondicherry,Simulation & Modelling,Academic Tool
Comsol Multiphysics software package,"NIT Pondicherry, NIT Trichy, IIIT Kancheepuram",Simulation & Modelling,Academic Tool
FLOW 3D Hydro software,NIT Pondicherry,Simulation & Modelling,Academic Tool
Midas Software,"NIT Pondicherry, NIT Meghalaya, NIT Kurukshetra, NIT Sikkim",Simulation & Modelling,Academic Tool
"Geostudio software,",NIT Pondicherry,Simulation & Modelling,Academic Tool
PSIM2021a-Education -professional-network,NIT Pondicherry,Scientific & Engineering Software,Academic Tool
Mi power software package,NIT Pondicherry,Academic Integrity & Writing,Academic Tool
English laboratory software sanako study,NIT Pondicherry,Cybersecurity,Administrative Tool
email security appliance and its accessories ,NIT Pondicherry,GIS & Remote Sensing,Academic Tool
ArcGIS Software,NIT Pondicherry,Simulation & Modelling,Academic Tool
LS-RAPID software,NIT Pondicherry,Academic Integrity & Writing,Academic Tool
Grammarly,"NIT Pondicherry, NIT Meghalaya, NIT Srinagar, NIT Rourkela, IIIT Kancheepuram, IIIT Tiruchirapalli, IIIT Gwalior",Scientific & Engineering Software,Academic Tool
Ergo Master,NIT Pondicherry,IT Infrastructure & OS,Administrative Tool
AI server,NIT Pondicherry,Scientific & Engineering Software,Academic Tool
"Anthropometer and Ergo Fello software,",NIT Pondicherry,Simulation & Modelling,Academic Tool
